year, GAP, DTIME, DOY, HRMIN, UST, TA, WD, WS, NEE, FC, SFC, H, SH, LE, SLE, FG, TS1, TSdepth1, TS2, TSdepth2, PREC, RH, PRESS, CO2, VPD, SWC1, SWC2, Rn, PAR, Rg, Rgdif, PARout, RgOut, Rgl, RglOut, H2O, RE, GPP, CO2top, CO2height, APAR, PARdif, APARpct, ZL
2008,0,205.16667,205,400,0.081,25.66,-9999,-9999,1.626,1.541,0.086,-1.978,-6999,29.368,-6999,4.97,-9999,5,-9999,10,0,96.84,101.7,388.941,0.1,90.754,-6999,-49.07,0,0,-6999,-6999,4.46,-6999,-6999,29.137,-6999,-9999,388.941,2.9,-6999,-6999,-6999,-6999
2008,0,205.1875,205,430,0.157,25.51,-9999,-9999,0.865,0.695,0.17,5.966,-6999,27.977,-6999,4.47,-9999,5,-9999,10,0,98.08,101.7,390.243,0.06,90.754,-6999,-57.11,0,0,-6999,-6999,-9999,-6999,-6999,29.286,-6999,-9999,390.243,2.9,-6999,-6999,-6999,-6999
2008,0,205.20833,205,500,0.104,25.41,-9999,-9999,0.113,0.122,-0.009,1.986,-6999,24.971,-6999,3.96,-9999,5,-9999,10,0,99.99,101.7,392.834,0,90.754,-6999,-54.73,0,0,-6999,-6999,4.24,-6999,-6999,29.818,-6999,-9999,392.834,2.9,-6999,-6999,-6999,-6999
2008,0,205.22917,205,530,0.098,25.49,-9999,-9999,1.155,1.004,0.151,-1.011,-6999,17.133,-6999,3.4,-9999,5,-9999,10,0,99.43,101.7,392.691,0.02,90.754,-6999,-54.23,0,0,-6999,-6999,4.97,-6999,-6999,29.663,-6999,-9999,392.691,2.9,-6999,-6999,-6999,-6999
2008,0,205.25,205,600,0.17,25.68,-9999,-9999,0.16,0.291,-0.13,-0.934,-6999,24.674,-6999,2.76,-9999,5,-9999,10,0,99.65,101.801,394.995,0.01,90.754,-6999,-48.83,12.8,5.3,-6999,-6999,5.13,-6999,-6999,29.992,-6999,0.68,394.995,2.9,-6999,-6999,-6999,-6999
2008,0,205.27083,205,630,0.186,25.79,-9999,-9999,-1.042,-0.923,-0.119,16.18,-6999,38.432,-6999,2.08,-9999,5,-9999,10,0,98.56,101.801,392.997,0.05,90.754,-6999,-19.98,74.8,28.3,-6999,-6999,2.5,-6999,-6999,29.827,-6999,1.91,392.997,2.9,-6999,-6999,-6999,-6999
2008,0,205.29167,205,700,0.197,26.54,-9999,-9999,-1.829,-1.68,-0.148,28.038,-6999,68.682,-6999,1.36,-9999,5,-9999,10,0,93.96,101.9,391.174,0.21,90.791,-6999,98.4,293.3,142.4,-6999,-6999,0.301,-6999,-6999,29.505,-6999,2.764,391.174,2.9,-6999,-6999,-6999,-6999
2008,0,205.3125,205,730,0.202,27.87,-9999,-9999,-3.215,-3.026,-0.188,37.088,-6999,80.481,-6999,0.64,-9999,5,-9999,10,0,87.35,101.9,388.891,0.47,90.791,-6999,190.4,422.6,163.7,-6999,-6999,-9999,-6999,-6999,29.391,-6999,4.208,388.891,2.9,-6999,-6999,-6999,-6999
2008,0,205.33333,205,800,0.145,28.75,-9999,-9999,-3.219,-3.061,-0.158,23.609,-6999,59.212,-6999,0.04,-9999,5,-9999,10,0,83.5,101.9,385.993,0.65,90.754,-6999,275,508.3,170,-6999,-6999,-9999,-6999,-6999,29.436,-6999,4.249,385.993,2.9,-6999,-6999,-6999,-6999
2008,0,205.35417,205,830,0.106,29.13,-9999,-9999,-1.581,-1.379,-0.202,24.33,-6999,99.702,-6999,-0.34,-9999,5,-9999,10,0,81.71,101.9,383.564,0.74,90.754,-6999,325.1,754,350.7,-6999,-6999,-9999,-6999,-6999,29.391,-6999,2.629,383.564,2.9,-6999,-6999,-6999,-6999
2008,0,205.375,205,900,0.072,29.21,-9999,-9999,-0.944,-0.933,-0.01,21.395,-6999,103.473,-6999,-0.51,-9999,5,-9999,10,0,79.06,101.9,380.454,0.85,90.754,-6999,480.3,1076,530.3,-6999,-6999,-9999,-6999,-6999,28.562,-6999,2.025,380.454,2.9,-6999,-6999,-6999,-6999
2008,0,205.39583,205,930,0.044,29.87,-9999,-9999,-1.15,-1.066,-0.084,26.362,-6999,106.967,-6999,-0.54,-9999,5,-9999,10,0,74.1,101.9,380.289,1.09,90.754,-6999,561.1,1250,614.4,-6999,-6999,-9999,-6999,-6999,27.732,-6999,2.269,380.289,2.9,-6999,-6999,-6999,-6999
2008,0,205.41667,205,1000,0.11,30.48,-9999,-9999,-0.983,-0.947,-0.036,19.221,-6999,128.818,-6999,-0.49,-9999,5,-9999,10,0,69.66,102,378.986,1.32,90.754,-6999,586.8,1300,646.1,-6999,-6999,-9999,-6999,-6999,26.922,-6999,2.137,378.986,2.9,-6999,-6999,-6999,-6999
2008,-1,205.4375,205,1030,5.738,30.8,-9999,-9999,-1.156,-9999,-0.888,31.998,-6999,179.206,-6999,-0.38,-9999,5,-9999,10,0,66.02,102,378.417,1.51,90.717,-6999,704,1548,760,-6999,-6999,7,-6999,-6999,25.959,-6999,2.634,378.417,2.9,-6999,-6999,-6999,-6999
2008,-1,205.45833,205,1100,7.205,29.18,-9999,-9999,-0.96,-9999,0.201,13.798,-6999,98.944,-6999,-0.24,-9999,5,-9999,10,2.794,73.47,101.9,364.54,1.07,90.717,-6999,240.9,633.2,293,-6999,-6999,8.2,-6999,-6999,26.49,-6999,2.866,364.54,2.9,-6999,-6999,-6999,-6999
2008,0,205.47917,205,1130,0.231,27.5,-9999,-9999,-1.136,-0.364,0.545,27.805,-6999,160.713,-6999,-0.08,-9999,5,-9999,10,1.778,84.63,101.9,367.7,0.56,90.717,-6999,597.3,1359,657,-6999,-6999,25,-6999,-6999,27.937,-6999,2.162,367.7,2.9,-6999,-6999,-6999,-6999
2008,0,205.5,205,1200,0.159,28.84,-9999,-9999,-0.737,-0.792,0.055,10.754,-6999,118.841,-6999,0.14,-9999,5,-9999,10,0,75.73,101.9,376.081,0.96,90.68,-6999,199.2,560.6,253.1,-6999,-6999,10.1,-6999,-6999,26.816,-6999,1.769,376.081,2.9,-6999,-6999,-6999,-6999
2008,0,205.52083,205,1230,0.227,28.98,-9999,-9999,-0.707,-0.59,-0.117,6.316,-6999,81.425,-6999,0.36,-9999,5,-9999,10,0,76.66,101.9,376.925,0.93,90.68,-6999,124.1,400.2,176.5,-6999,-6999,11,-6999,-6999,27.363,-6999,1.7,376.925,2.9,-6999,-6999,-6999,-6999
2008,0,205.54167,205,1300,0.252,28.44,-9999,-9999,-0.672,9.791,-0.898,7.621,-6999,71.699,-6999,0.63,-9999,5,-9999,10,0,78.14,101.801,375.124,0.85,90.68,-6999,83.7,305.1,132.8,-6999,-6999,10.901,-6999,-6999,27.122,-6999,1.601,375.124,2.9,-6999,-6999,-6999,-6999
2008,0,205.5625,205,1330,0.241,27.6,-9999,-9999,-0.701,4.265,0.791,7.951,-6999,73.155,-6999,0.92,-9999,5,-9999,10,0,81.76,101.801,361.36,0.67,90.717,-6999,92.1,324.4,144.8,-6999,-6999,18.201,-6999,-6999,27.155,-6999,1.563,361.36,2.9,-6999,-6999,-6999,-6999
2008,0,205.58333,205,1400,0.032,26.76,-9999,-9999,-0.976,-0.487,0.153,14.152,-6999,100.504,-6999,1.22,-9999,5,-9999,10,0,80.7,101.801,373.446,0.68,90.68,-6999,249.9,667.9,307.4,-6999,-6999,21.9,-6999,-6999,25.664,-6999,1.97,373.446,2.9,-6999,-6999,-6999,-6999
2008,0,205.60417,205,1430,0.183,28.64,-9999,-9999,-1.76,-1.761,0.001,35.051,-6999,144.696,-6999,1.49,-9999,5,-9999,10,0,72.06,101.801,375.797,1.1,90.68,-6999,799,1841,899,-6999,-6999,55,-6999,-6999,25.278,-6999,2.811,375.797,2.9,-6999,-6999,-6999,-6999
2008,0,205.625,205,1500,0.202,29.33,-9999,-9999,-2.074,-2.011,-0.063,34.179,-6999,168.961,-6999,1.71,-9999,5,-9999,10,0,73.02,101.7,375.809,1.1,90.68,-6999,561.8,1356,655.8,-6999,-6999,41.1,-6999,-6999,26.597,-6999,3.126,375.809,2.9,-6999,-6999,-6999,-6999
2008,0,205.64583,205,1530,0.23,29.21,-9999,-9999,-2.524,-2.498,-0.025,33.903,-6999,179.743,-6999,1.88,-9999,5,-9999,10,0,75.4,101.7,374.828,1,90.643,-6999,434.6,1081,526.8,-6999,-6999,40.6,-6999,-6999,27.286,-6999,3.592,374.828,2.9,-6999,-6999,-6999,-6999
2008,0,205.66667,205,1600,0.167,29.43,-9999,-9999,-1.466,-1.476,0.011,25.157,-6999,137.335,-6999,2.03,-9999,5,-9999,10,0,74.13,101.7,374.434,1.06,90.643,-6999,375.9,948,460.5,-6999,-6999,35.2,-6999,-6999,27.155,-6999,2.567,374.434,2.9,-6999,-6999,-6999,-6999
2008,0,205.6875,205,1630,0.122,29.86,-9999,-9999,-1.501,-1.557,0.057,32.74,-6999,171.246,-6999,2.18,-9999,5,-9999,10,0,71.86,101.7,374.598,1.18,90.643,-6999,413.3,1029,507.6,-6999,-6999,35.801,-6999,-6999,26.932,-6999,2.628,374.598,2.9,-6999,-6999,-6999,-6999
2008,0,205.70833,205,1700,0.155,30.27,-9999,-9999,-1.492,-1.512,0.02,21.418,-6999,159.715,-6999,2.35,-9999,5,-9999,10,0,68.47,101.7,375.467,1.36,90.643,-6999,404.2,1009,510.8,-6999,-6999,44.7,-6999,-6999,26.238,-6999,2.631,375.467,2.9,-6999,-6999,-6999,-6999
2008,0,205.72917,205,1730,0.105,30.49,-9999,-9999,-0.879,-0.884,0.006,3.122,-6999,114.638,-6999,2.53,-9999,5,-9999,10,0,66.45,101.7,375.774,1.46,90.643,-6999,166.6,665.9,328.7,-6999,-6999,98.9,-6999,-6999,25.761,-6999,2.02,375.774,2.9,-6999,-6999,-6999,-6999
2008,0,205.75,205,1800,0.07,30.49,-9999,-9999,-0.363,-0.366,0.004,-1.616,-6999,78.667,-6999,2.73,-9999,5,-9999,10,0,65.61,101.7,375.857,1.5,90.68,-6999,72.5,308.4,146.3,-6999,-6999,13.401,-6999,-6999,25.444,-6999,1.506,375.857,2.9,-6999,-6999,-6999,-6999
2008,0,205.77083,205,1830,0.088,30.46,-9999,-9999,0.825,0.747,0.078,-5.539,-6999,106.008,-6999,2.95,-9999,5,-9999,10,0,67.3,101.7,375.906,1.42,90.68,-6999,7.8,156.5,72.1,-6999,-6999,8.06,-6999,-6999,26.062,-6999,0.298,375.906,2.9,-6999,-6999,-6999,-6999
2008,0,205.79167,205,1900,0.038,30.05,-9999,-9999,1.029,0.973,0.057,10.777,-6999,104.542,-6999,3.17,-9999,5,-9999,10,0,72.41,101.7,377.11,1.17,90.68,-6999,-35.89,62,28.1,-6999,-6999,6.131,-6999,-6999,27.417,-6999,0.053,377.11,2.9,-6999,-6999,-6999,-6999
2008,0,205.8125,205,1930,0.187,29.38,-9999,-9999,0.961,1.021,-0.06,-5.92,-6999,44.802,-6999,3.4,-9999,5,-9999,10,0,76.8,101.7,377.98,0.95,90.68,-6999,-57.55,6.4,2.2,-6999,-6999,4.83,-6999,-6999,28.044,-6999,-9999,377.98,2.9,-6999,-6999,-6999,-6999
2008,0,205.83333,205,2000,0.163,28.5,-9999,-9999,1.07,1.058,0.012,-5.044,-6999,26.916,-6999,3.62,-9999,5,-9999,10,0,76.91,101.801,377.051,0.9,90.68,-6999,-42.03,0,0,-6999,-6999,3.4,-6999,-6999,26.785,-6999,-9999,377.051,2.9,-6999,-6999,-6999,-6999
2008,0,205.85417,205,2030,0.161,27.87,-9999,-9999,1.061,1.047,0.014,-4.58,-6999,22.611,-6999,3.83,-9999,5,-9999,10,0,84.38,101.801,377.232,0.59,90.68,-6999,-55.65,0,0,-6999,-6999,4.3,-6999,-6999,28.423,-6999,-9999,377.232,2.9,-6999,-6999,-6999,-6999
2008,0,205.875,205,2100,0.194,27.44,-9999,-9999,0.776,0.727,0.05,-1.084,-6999,20.863,-6999,4.01,-9999,5,-9999,10,0,88.39,101.7,377.439,0.42,90.68,-6999,-58.34,0,0,-6999,-6999,4.43,-6999,-6999,29.134,-6999,-9999,377.439,2.9,-6999,-6999,-6999,-6999
2008,0,205.89583,205,2130,0.158,27.25,-9999,-9999,1.033,0.942,0.092,-2.177,-6999,25.88,-6999,4.16,-9999,5,-9999,10,0,91.12,101.7,378.192,0.32,90.68,-6999,-37.85,0,0,-6999,-6999,2.83,-6999,-6999,29.729,-6999,-9999,378.192,2.9,-6999,-6999,-6999,-6999
2008,0,205.91667,205,2200,0.221,27.24,-9999,-9999,1.257,1.209,0.048,-2.397,-6999,62.315,-6999,4.25,-9999,5,-9999,10,0,91.01,101.801,379.593,0.32,90.68,-6999,-39.69,0,0,-6999,-6999,3.1,-6999,-6999,29.658,-6999,-9999,379.593,2.9,-6999,-6999,-6999,-6999
2008,0,205.9375,205,2230,0.599,27.19,-9999,-9999,1.211,8.799,1.012,3.054,-6999,51.56,-6999,4.29,-9999,5,-9999,10,0,85.96,101.801,380.327,0.51,90.68,-6999,-32.5,0,0,-6999,-6999,2.47,-6999,-6999,27.936,-6999,-9999,380.327,2.9,-6999,-6999,-6999,-6999
2008,-1,205.95833,205,2300,6.142,25.79,-9999,-9999,1.288,-9999,0.47,2.895,-6999,50.86,-6999,4.29,-9999,5,-9999,10,10.67,85.88,101.9,395.75,0.47,90.717,-6999,-36.54,0,0,-6999,-6999,-9999,-6999,-6999,25.963,-6999,-9999,395.75,2.9,-6999,-6999,-6999,-6999
2008,0,205.97917,205,2330,0.396,22.8,-9999,-9999,1.224,-15.557,-0.33,3.044,-6999,51.518,-6999,4.25,-9999,5,-9999,10,11.68,94.93,101.9,403.031,0.14,90.754,-6999,-32.74,0,0,-6999,-6999,2.45,-6999,-6999,24.777,-6999,-9999,403.031,2.9,-6999,-6999,-6999,-6999
2008,0,206,206,0,0.375,22.66,-9999,-9999,1.245,-27.425,-0.353,3.153,-6999,51.997,-6999,4.14,-9999,5,-9999,10,13.72,98.1,102,397.976,0.05,90.791,-6999,-29.98,0,0,-6999,-6999,1.62,-6999,-6999,25.411,-6999,-9999,397.976,2.9,-6999,-6999,-6999,-6999
2008,0,206.02083,206,30,0.299,22.77,-9999,-9999,1.246,-10.299,-0.478,3.056,-6999,51.569,-6999,3.48,-9999,5,-9999,10,1.524,98.76,102,392.355,0.03,90.828,-6999,-32.45,0,0,-6999,-6999,1.76,-6999,-6999,25.716,-6999,-9999,392.355,2.8,-6999,-6999,-6999,-6999
