Date of data download: 2015-12-24

These data have been downloaded from the Everglades Depth Estimation Network (EDEN) database through the Explore and View EDEN (EVE) web application. The attached README file provides a brief description of the data. For additional info about EDEN: http://sofia.usgs.gov/eden

Date,Harney_River Daily median water Level(feet NAVD88),Harney_River Water level data type (O=observed; E=estimated; H=hindcasted; D=dry; M=missing),Water level quality flag (F=final; P=provisional; R=real-time)
2009-11-09,-0.7,O,F
2009-11-10,-0.33,O,F
2009-11-11,-0.12,O,F
2009-11-12,-0.3,O,F
2009-11-13,-0.56,O,F
2009-11-14,-0.53,O,F
2009-11-15,-0.48,O,F
2009-11-16,-0.48,O,F
2009-11-17,-0.2,O,F
2009-11-18,-0.3,O,F
2009-11-19,-0.37,O,F
2009-11-20,-0.54,O,F
2009-11-21,-0.29,O,F
2009-11-22,-0.33,O,F
2009-11-23,-0.52,O,F
2009-11-24,-0.57,O,F
2009-11-25,-0.54,O,F
2009-11-26,-0.37,O,F
2009-11-27,-0.96,O,F
2009-11-28,-0.85,O,F
2009-11-29,-0.66,O,F
2009-11-30,-0.48,O,F
2009-12-01,-0.31,O,F
2009-12-02,-0.23,O,F
2009-12-03,-0.38,O,F
2009-12-04,-0.63,O,F
2009-12-05,-0.23,O,F
2009-12-06,-0.75,O,F
2009-12-07,-0.68,O,F
2009-12-08,-0.69,O,F
2009-12-09,-0.54,O,F
2009-12-10,-0.52,O,F
2009-12-11,-1.15,O,F
2009-12-12,-1.34,O,F
2009-12-13,-0.96,O,F
2009-12-14,-1,O,F
2009-12-15,-1.02,O,F
2009-12-16,-1.02,O,F
2009-12-17,-1.12,O,F
2009-12-18,0.04,O,F
2009-12-19,-0.03,O,F
2009-12-20,-0.92,O,F
2009-12-21,-1.1,O,F
2009-12-22,-1.05,O,F
2009-12-23,-1,O,F
2009-12-24,-0.59,O,F
2009-12-25,-0.23,O,F
2009-12-26,-0.61,O,F
2009-12-27,-0.91,O,F
2009-12-28,-0.81,O,F
2009-12-29,-1.16,O,F
2009-12-30,-1.25,O,F
2009-12-31,-0.93,O,F
2010-01-01,-0.69,O,F
2010-01-02,-1.35,O,F
2010-01-03,-0.98,O,F
2010-01-04,-0.86,O,F
2010-01-05,-1,O,F
2010-01-06,-1.34,O,F
2010-01-07,-1.3,O,F
2010-01-08,-0.98,O,F
2010-01-09,-1.63,O,F
2010-01-10,-2.02,O,F
2010-01-11,-1.54,O,F
2010-01-12,-1.59,O,F
2010-01-13,-1.6,O,F
2010-01-14,-1.49,O,F
2010-01-15,-1.26,O,F
2010-01-16,-1.1,O,F
2010-01-17,-0.87,O,F
2010-01-18,-1.14,O,F
2010-01-19,-1.24,O,F
2010-01-20,-1.21,O,F
2010-01-21,-0.88,O,F
2010-01-22,-0.91,O,F
2010-01-23,-0.86,O,F
2010-01-24,-0.76,O,F
2010-01-25,-0.49,O,F
2010-01-26,-1.26,O,F
2010-01-27,-1.36,O,F
2010-01-28,-1.4,O,F
2010-01-29,-1.08,O,F
2010-01-30,-0.78,O,F
2010-01-31,-1.02,O,F
2010-02-01,-0.92,O,F
2010-02-02,-0.68,O,F
2010-02-03,-0.94,O,F
2010-02-04,-1.17,O,F
2010-02-05,-0.75,O,F
2010-02-06,-0.72,O,F
2010-02-07,-1.27,O,F
2010-02-08,-1.25,O,F
2010-02-09,-0.99,O,F
2010-02-10,-0.99,O,F
2010-02-11,-1.39,O,F
2010-02-12,-0.37,O,F
2010-02-13,-0.99,O,F
2010-02-14,-1.14,O,F
2010-02-15,-0.97,O,F
2010-02-16,-0.8,O,F
2010-02-17,-1.06,O,F
2010-02-18,-1.29,O,F
2010-02-19,-1.32,O,F
2010-02-20,-1.36,O,F
2010-02-21,-1.27,O,F
2010-02-22,-0.99,O,F
2010-02-23,-0.83,O,F
2010-02-24,-0.73,O,F
2010-02-25,-1.21,O,F
2010-02-26,-1.23,O,F
2010-02-27,-0.75,O,F
2010-02-28,-1.06,O,F
2010-03-01,-1.08,O,F
2010-03-02,-0.53,O,F
2010-03-03,-0.59,O,F
2010-03-04,-1.04,O,F
2010-03-05,-1.33,O,F
2010-03-06,-1.72,O,F
2010-03-07,-1.7,O,F
2010-03-08,-1.12,O,F
2010-03-09,-1.19,O,F
2010-03-10,-1.22,O,F
2010-03-11,-0.99,O,F
2010-03-12,-0.58,O,F
2010-03-13,-0.87,O,F
2010-03-14,-1.06,O,F
2010-03-15,-1.14,O,F
2010-03-16,-1.27,O,F
2010-03-17,-1.09,O,F
2010-03-18,-1.04,O,F
2010-03-19,-1.05,O,F
2010-03-20,-1.1,O,F
2010-03-21,-0.96,O,F
2010-03-22,-0.96,O,F
2010-03-23,-0.98,O,F
2010-03-24,-1.48,O,F
2010-03-25,-1.35,O,F
2010-03-26,-1.08,O,F
2010-03-27,-1.12,O,F
2010-03-28,-0.96,O,F
2010-03-29,-0.43,O,F
2010-03-30,-0.81,O,F
2010-03-31,-1.1,O,F
2010-04-01,-1.16,O,F
2010-04-02,-1.4,O,F
2010-04-03,-1.46,O,F
2010-04-04,-1.42,O,F
2010-04-05,-1.45,O,F
2010-04-06,-1.52,O,F
2010-04-07,-1.24,O,F
2010-04-08,-1.35,O,F
2010-04-09,-1.17,O,F
2010-04-10,-1.4,O,F
2010-04-11,-1.51,O,F
2010-04-12,-1.67,O,F
2010-04-13,-1.69,O,F
2010-04-14,-1.86,O,F
2010-04-15,-1.96,O,F
2010-04-16,-1.68,O,F
2010-04-17,-1.43,O,F
2010-04-18,-1.11,O,F
2010-04-19,-1.28,O,F
2010-04-20,-1.19,O,F
2010-04-21,-1.06,O,F
2010-04-22,-1.2,O,F
2010-04-23,-1.35,O,F
2010-04-24,-1.29,O,F
2010-04-25,-1.24,O,F
2010-04-26,-0.82,O,F
2010-04-27,-1.07,O,F
2010-04-28,-1.06,O,F
2010-04-29,-1.07,O,F
2010-04-30,-1.17,O,F
2010-05-01,-1.16,O,F
2010-05-02,-1.22,O,F
2010-05-03,-1.28,O,F
2010-05-04,-1.34,O,F
2010-05-05,-1.3,O,F
2010-05-06,-1.24,O,F
2010-05-07,-1.42,O,F
2010-05-08,-1.37,O,F
2010-05-09,-1.39,O,F
2010-05-10,-1.63,O,F
2010-05-11,-1.68,O,F
2010-05-12,-1.66,O,F
2010-05-13,-1.64,O,F
2010-05-14,-1.68,O,F
2010-05-15,-1.48,O,F
2010-05-16,-1.33,O,F
2010-05-17,-1,O,F
2010-05-18,-0.95,O,F
2010-05-19,-0.95,O,F
2010-05-20,-1.02,O,F
2010-05-21,-1.16,O,F
2010-05-22,-1.33,O,F
2010-05-23,-1.25,O,F
2010-05-24,-1.13,O,F
2010-05-25,-1.05,O,F
2010-05-26,-0.96,O,F
2010-05-27,-0.65,O,F
2010-05-28,-0.66,O,F
2010-05-29,-0.59,O,F
2010-05-30,-0.71,O,F
2010-05-31,-0.92,O,F
2010-06-01,-0.89,O,F
2010-06-02,-0.86,O,F
2010-06-03,-0.68,O,F
2010-06-04,-0.73,O,F
2010-06-05,-0.78,O,F
2010-06-06,-1.03,O,F
2010-06-07,-0.96,O,F
2010-06-08,-0.94,O,F
2010-06-09,-1.15,O,F
2010-06-10,-1.01,O,F
2010-06-11,-0.68,O,F
2010-06-12,-0.61,O,F
2010-06-13,-0.75,O,F
2010-06-14,-0.54,O,F
2010-06-15,-0.38,O,F
2010-06-16,-0.67,O,F
2010-06-17,-0.55,O,F
2010-06-18,-0.69,O,F
2010-06-19,-0.88,O,F
2010-06-20,-1.03,O,F
2010-06-21,-1.08,O,F
2010-06-22,-1.23,O,F
2010-06-23,-1.46,O,F
2010-06-24,-1.27,O,F
2010-06-25,-1.13,O,F
2010-06-26,-0.98,O,F
2010-06-27,-0.94,O,F
2010-06-28,-0.8,O,F
2010-06-29,-0.86,O,F
2010-06-30,-0.82,O,F
2010-07-01,-0.93,O,F
2010-07-02,-0.97,O,F
2010-07-03,-0.74,O,F
2010-07-04,-0.85,O,F
2010-07-05,-0.96,O,F
2010-07-06,-0.97,O,F
2010-07-07,-0.93,O,F
2010-07-08,-0.88,O,F
2010-07-09,-0.8,O,F
2010-07-10,-0.8,O,F
2010-07-11,-0.58,O,F
2010-07-12,-0.51,O,F
2010-07-13,-0.59,O,F
2010-07-14,-0.81,O,F
2010-07-15,-0.7,O,F
2010-07-16,-0.88,O,F
2010-07-17,-0.87,O,F
2010-07-18,-0.88,O,F
2010-07-19,-0.81,O,F
2010-07-20,-1.11,O,F
2010-07-21,-1.23,O,F
2010-07-22,-1.01,O,F
2010-07-23,-1,O,F
2010-07-24,-0.83,O,F
2010-07-25,-0.98,O,F
2010-07-26,-0.86,O,F
2010-07-27,-0.93,O,F
2010-07-28,-0.71,O,F
2010-07-29,-0.74,O,F
2010-07-30,-0.69,O,F
2010-07-31,-0.64,O,F
2010-08-01,-0.63,O,F
2010-08-02,-0.73,O,F
2010-08-03,-0.87,O,F
2010-08-04,-0.85,O,F
2010-08-05,-0.7,O,F
2010-08-06,-0.63,O,F
2010-08-07,-0.52,O,F
2010-08-08,-0.48,O,F
2010-08-09,-0.2,O,F
2010-08-10,0.05,O,F
2010-08-11,0.12,O,F
2010-08-12,-0.22,O,F
2010-08-13,-0.22,O,F
2010-08-14,-0.47,O,F
2010-08-15,-0.4,O,F
2010-08-16,-0.38,O,F
2010-08-17,-0.42,O,F
2010-08-18,-0.61,O,F
2010-08-19,-0.79,O,F
2010-08-20,-0.62,O,F
2010-08-21,-0.69,O,F
2010-08-22,-0.55,O,F
2010-08-23,-0.43,O,F
2010-08-24,-0.51,O,F
2010-08-25,-0.57,O,F
2010-08-26,-0.65,O,F
2010-08-27,-0.63,O,F
2010-08-28,-0.63,O,F
2010-08-29,-0.75,O,F
2010-08-30,-0.81,O,F
2010-08-31,-0.92,O,F
2010-09-01,-0.74,O,F
2010-09-02,-0.42,O,F
2010-09-03,-0.52,O,F
2010-09-04,-0.34,O,F
2010-09-05,-0.33,O,F
2010-09-06,-0.28,O,F
2010-09-07,-0.33,O,F
2010-09-08,-0.13,O,F
2010-09-09,-0.08,O,F
2010-09-10,0.08,O,F
2010-09-11,0.02,O,F
2010-09-12,-0.13,O,F
2010-09-13,-0.3,O,F
2010-09-14,-0.69,O,F
2010-09-15,-0.61,O,F
2010-09-16,-0.47,O,F
2010-09-17,-0.47,O,F
2010-09-18,-0.65,O,F
2010-09-19,-0.67,O,F
2010-09-20,-0.64,O,F
2010-09-21,-0.77,O,F
2010-09-22,-0.72,O,F
2010-09-23,-0.61,O,F
2010-09-24,-0.59,O,F
2010-09-25,-0.49,O,F
2010-09-26,-0.28,O,F
2010-09-27,-0.23,O,F
2010-09-28,-0.28,O,F
2010-09-29,-0.38,O,F
2010-09-30,-0.15,O,F
2010-10-01,-0.33,O,F
2010-10-02,-0.53,O,F
2010-10-03,-0.46,O,F
2010-10-04,-0.8,O,F
2010-10-05,-0.81,O,F
2010-10-06,-0.9,O,F
2010-10-07,-0.54,O,F
2010-10-08,-0.28,O,F
2010-10-09,0.04,O,F
2010-10-10,0.08,O,F
2010-10-11,-0.14,O,F
2010-10-12,-0.45,O,F
2010-10-13,-0.38,O,F
2010-10-14,-0.5,O,F
2010-10-15,-0.63,O,F
2010-10-16,-0.79,O,F
2010-10-17,-0.76,O,F
2010-10-18,-0.84,O,F
2010-10-19,-0.62,O,F
2010-10-20,-0.55,O,F
2010-10-21,-0.58,O,F
2010-10-22,-0.65,O,F
2010-10-23,-0.88,O,F
2010-10-24,-0.68,O,F
2010-10-25,-0.57,O,F
2010-10-26,-0.65,O,F
2010-10-27,-0.64,O,F
2010-10-28,-0.79,O,F
2010-10-29,-0.84,O,F
2010-10-30,-1.02,O,F
2010-10-31,-0.93,O,F
2010-11-01,-0.93,O,F
2010-11-02,-1.17,O,F
